"","x"
"921",0.941777211285825
"922",0.819863384474101
"923",0.035919300120755
"924",0.757230589928074
"925",1
"926",1
"927",0.558067044698041
"928",0.8414606906082
"929",0.700659952621598
"930",0.00225224753331285
"931",1
"932",0.9441214003214
"933",0.837639196370434
"934",0.927713118352841
"935",0.519998996235348
"936",0.627889241150933
"937",0.80534541574226
"938",1
"939",0.682306226194973
"940",0.406163357472233
"941",0.940619386753806
"942",0.419680477186314
"943",1
"944",1
"945",0.496946186036201
"946",0.714037975462604
"947",1
"948",0.940619386753806
"949",0.790233509090496
"950",0.283849463018532
"951",0.777243143541019
"952",0.881052735673286
"953",0.826092695500679
"954",0.986258761544818
"955",0.660103906421937
"956",0.343537860915747
"957",1
"958",1
"959",0.70213321656847
"960",0.614479041335778
"961",1
"962",0.649905303587235
"963",0.705258964946775
"964",0.670666377924554
"965",0.888973252830186
"966",0.465606937546753
"967",0.684107174062989
"968",1
"969",0.625732986368828
"970",0.218788259617795
"971",0.933261815068965
"972",1
"973",1
"974",0.938888624007426
"975",0.691290645895901
"976",0.883182245994281
"977",0.289213091982256
"978",0.419841255495256
"979",0.805601943389732
"980",0.781244740499251
"981",0.866197683953483
"982",0.878846228220419
"983",0.652961001935907
"984",0.767072381138341
"985",0.800113719610123
"986",1
"987",0.680468682019647
"988",0.788009786182976
"989",0.967900965558256
"990",0.755389823287215
"991",1
"992",0.554146847956944
"993",0.621903035013066
"994",0.378665541527035
"995",0.489759539902864
"996",0.267149251979583
"997",0.498337063694724
"998",0.163339419830626
"999",0.980567133565161
"1000",0.759336845806367
"1001",0.440127693023446
"1002",0.55224294799792
"1003",1
"1004",0.712441968017029
"1005",1
"1006",0.634423930380385
"1007",1
"1008",0.521393620622964
"1009",0.846886266250444
"1010",1
"1011",0.704523985451194
"1012",0.244528910625081
"1013",0.723093205505336
"1014",0.836147898250783
"1015",1
"1016",1
"1017",1
"1018",0.758231368439124
"1019",1
"1020",0.384502683322004
"1021",0.9246595289312
"1022",0.620084828869104
"1023",0.563337199955823
"1024",1
"1025",0.617786047113569
"1026",1
